Jahr,Monat,Heizgradtage
,,
1994,1,540.6
1994,2,493.9
1994,3,312.7
1994,4,351.9
1994,5,84.9
1994,6,51.3
1994,7,0.7
1994,8,2.1
1994,9,80.1
1994,10,291.9
1994,11,359.4
1994,12,510.6
1995,1,619.9
1995,2,423.5
1995,3,505.1
1995,4,283.7
1995,5,129.6
1995,6,83.3
1995,7,0.8
1995,8,34.3
1995,9,128.8
1995,10,111.5
1995,11,475.1
1995,12,601.7
1996,1,603.8
1996,2,589.1
1996,3,515.5
1996,4,265.6
1996,5,155.2
1996,6,27.7
1996,7,16.3
1996,8,8.6
1996,9,199.4
1996,10,301.0
1996,11,454.3
1996,12,616.8
1997,1,651.2
1997,2,445.3
1997,3,387.4
1997,4,339.2
1997,5,92.9
1997,6,29.3
1997,7,11.3
1997,8,4.4
1997,9,38.5
1997,10,288.8
1997,11,455.1
1997,12,537.7
1998,1,565.7
1998,2,468.9
1998,3,427.7
1998,4,312.1
1998,5,66.7
1998,6,34.4
1998,7,5.1
1998,8,14.0
1998,9,95.7
1998,10,275.2
1998,11,536.2
1998,12,597.9
1999,1,567.4
1999,2,568.6
1999,3,435.5
1999,4,294.6
1999,5,41.0
1999,6,31.4
1999,7,3.6
1999,8,3.9
1999,9,8.2
1999,10,276.1
1999,11,520.0
1999,12,562.7
2000,1,619.0
2000,2,468.8
2000,3,426.6
2000,4,260.9
2000,5,51.8
2000,6,9.1
2000,7,32.8
2000,8,4.1
2000,9,31.7
2000,10,251.5
2000,11,425.7
2000,12,498.9
2001,1,565.5
2001,2,464.6
2001,3,382.7
2001,4,361.8
2001,5,49.3
2001,6,43.7
2001,7,6.3
2001,8,2.8
2001,9,154.2
2001,10,95.9
2001,11,506.0
2001,12,622.7
2002,1,611.1
2002,2,411.8
2002,3,388.8
2002,4,293.7
2002,5,131.8
2002,6,8.1
2002,7,3.7
2002,8,7.4
2002,9,116.9
2002,10,262.0
2002,11,399.4
2002,12,499.9
2003,1,612.1
2003,2,604.7
2003,3,377.0
2003,4,246.4
2003,5,79.2
2003,6,0.1
2003,7,2.8
2003,8,1.9
2003,9,42.9
2003,10,377.0
2003,11,439.4
2003,12,573.7
2004,1,586.5
2004,2,525.0
2004,3,473.1
2004,4,268.8
2004,5,152.9
2004,6,18.9
2004,7,9.7
2004,8,4.9
2004,9,55.5
2004,10,182.4
2004,11,467.0
2004,12,594.1
2005,1,618.7
2005,2,593.3
2005,3,440.7
2005,4,297.0
2005,5,133.0
2005,6,22.8
2005,7,7.3
2005,8,11.9
2005,9,65.8
2005,10,218.9
2005,11,471.6
2005,12,636.5
2006,1,675.9
2006,2,553.7
2006,3,500.9
2006,4,290.0
2006,5,90.6
2006,6,43.2
2006,7,0.4
2006,8,36.6
2006,9,6.3
2006,10,117.2
2006,11,388.8
2006,12,542.5
2007,1,488.6
2007,2,431.2
2007,3,442.8
2007,4,112.4
2007,5,90.0
2007,6,21.0
2007,7,16.4
2007,8,13.8
2007,9,105.3
2007,10,280.9
2007,11,504.9
2007,12,594.0
2008,1,533.1
2008,2,481.1
2008,3,467.4
2008,4,331.7
2008,5,41.3
2008,6,25.1
2008,7,6.5
2008,8,4.6
2008,9,163.6
2008,10,231.8
2008,11,461.5
2008,12,599.7
2009,1,672.2
2009,2,543.2
2009,3,473.6
2009,4,167.5
2009,5,41.5
2009,6,18.9
2009,7,5.2
2009,8,1.5
2009,9,19.9
2009,10,270.8
2009,11,385.5
2009,12,581.7
2010,1,667.9
2010,2,534.7
2010,3,465.9
2010,4,249.3
2010,5,184.7
2010,6,31.8
2010,7,3.1
2010,8,15.1
2010,9,80.2
2010,10,287.0
2010,11,423.9
2010,12,642.0
2011,1,582.6
2011,2,485.6
2011,3,415.8
2011,4,130.1
2011,5,57.8
2011,6,19.4
2011,7,11.2
2011,8,4.1
2011,9,24.4
2011,10,262.7
2011,11,435.2
2011,12,509.1
2012,1,550.7
2012,2,671.8
2012,3,362.3
2012,4,308.5
2012,5,88.5
2012,6,15.2
2012,7,3.9
2012,8,5.1
2012,9,70.9
2012,10,226.0
2012,11,416.1
2012,12,561.9
2013,1,594.3
2013,2,582.5
2013,3,525.0
2013,4,285.2
2013,5,204.0
2013,6,40.2
2013,7,0.5
2013,8,3.4
2013,9,42.9
2013,10,163.2
2013,11,451.5
2013,12,578.5
2014,1,526.3
2014,2,449.0
2014,3,386.2
2014,4,191.5
2014,5,133.0
2014,6,6.5
2014,7,10.1
2014,8,9.9
2014,9,38.5
2014,10,124.8
2014,11,385.5
2014,12,520.6
2015,1,555.7
2015,2,557.1
2015,3,419.4
2015,4,219.5
2015,5,78.9
2015,6,5.8
2015,7,1.1
2015,8,3.6
2015,9,85.9
2015,10,289.2
2015,11,356.2
2015,12,502.5
2016,1,535.0
2016,2,461.0
2016,3,459.3
2016,4,286.3
2016,5,146.2
2016,6,10.7
2016,7,7.8
2016,8,3.8
2016,9,15.1
2016,10,318.6
2016,11,441.5
2016,12,596.0
2017,1,696.7
2017,2,446.2
2017,3,340.5
2017,4,285.5
2017,5,120.5
2017,6,5.2
2017,7,3.1
2017,8,6.0
2017,9,96.9
2017,10,196.8
2017,11,457.9
2017,12,577.8
2018,1,473.8
2018,2,577.7
2018,3,491.7
2018,4,129.2
2018,5,66.1
2018,6,3.5
2018,7,0.6
2018,8,3.4
2018,9,29.4
2018,10,189.6
2018,11,420.5
2018,12,505.2
2019,1,606.9
2019,2,461.8
2019,3,399.7
2019,4,272.9
2019,5,208.0
2019,6,5.3
2019,7,0.8
2019,8,2.0
2019,9,32.2
2019,10,149.9
2019,11,427.8
2019,12,499.4
2020,1,545.7
2020,2,388.6
2020,3,427.9
2020,4,129.3
2020,5,98.7
2020,6,19.7
2020,7,1.0
2020,8,8.9
2020,9,63.5
2020,10,288.8
2020,11,417.4
2020,12,541.1
2021,1,596.7
2021,2,444.7
2021,3,438.7
2021,4,324.3
2021,5,223.6
2021,6,2.9
2021,7,3.0
2021,8,7.9
2021,9,22.7
2021,10,291.6
2021,11,477.0
2021,12,544.9
2022,1,575.9
2022,2,439.5
2022,3,406.7
2022,4,282.1
2022,5,42.1
2022,6,2.7
2022,7,0.7
2022,8,0.4
2022,9,100.9
2022,10,45.7
2022,11,374.5
2022,12,524.6
2023,1,536.4
2023,2,463.4
2023,3,377.2
2023,4,311.9
2023,5,85.1
2023,6,1.0
2023,7,1.6
2023,8,8.8
2023,9,12.6
2023,10,130.8
2023,11,419.0
2023,12,497.9
2024,1,543.2
2024,2,386.1
2024,3,358.8
2024,4,250.9
2024,5,65.8
2024,6,13.8
2024,7,1.6
2024,8,0.5
2024,9,88.2
2024,10,155.0
2024,11,434.3
2024,12,560.9
2025,1,545.1
2025,2,473.4
2025,3,389.3
2025,4,199.5
2025,5,87.2
2025,6,1.1
2025,7,4.2
2025,8,2.8
2025,9,67.9
2025,10,263.3
2025,11,446.7
2025,12,534.9
Diese Daten werden nicht mehr weitergeführt. Neuer Link: https://www.bfe-ogd.ch/ogd105_heizgradtage_kühlgradtage.csv- Öffnet in einem neuen Tab.



