Jahr,Monat,Definitiv,Erzeugung_Laufwerk_GWh,Erzeugung_Speicherwerk_GWh,Erzeugung_Kernkraftwerk_GWh,Erzeugung_andere_GWh,Erzeugung_Thermische_GWh,Erzeugung_Windkraft_GWh,Erzeugung_Photovoltaik_GWh,Landeserzeugung_GWh,Verbrauch_Speicherpumpen_GWh,Erzeugung_netto_GWh,Einfuhr_GWh,Ausfuhr_GWh,Landesverbrauch_GWh,Verluste_GWh,Endverbrauch_GWh
2000,1,1,891,2004,2354,238,NULL,NULL,NULL,5487,72,5415,2580,2521,5474,346,5128
2000,2,1,959,1516,2213,232,NULL,NULL,NULL,4920,40,4880,2478,2337,5021,353,4668
2000,3,1,1069,1463,2355,229,NULL,NULL,NULL,5116,44,5072,2608,2596,5084,347,4737
2000,4,1,1196,1068,2278,218,NULL,NULL,NULL,4760,139,4621,2181,2375,4427,334,4093
2000,5,1,2060,1920,2307,197,NULL,NULL,NULL,6484,228,6256,1212,3034,4434,315,4119
2000,6,1,2168,1911,2133,193,NULL,NULL,NULL,6405,305,6100,1023,2950,4173,278,3895
2000,7,1,2069,1730,1285,176,NULL,NULL,NULL,5260,248,5012,1725,2595,4142,310,3832
2000,8,1,1986,1741,1024,185,NULL,NULL,NULL,4936,275,4661,1660,2092,4229,312,3917
2000,9,1,1439,1386,1979,213,NULL,NULL,NULL,5017,219,4798,2129,2558,4369,304,4065
2000,10,1,1473,1951,2341,218,NULL,NULL,NULL,5983,158,5825,2035,3073,4787,348,4439
2000,11,1,1212,1962,2297,214,NULL,NULL,NULL,5685,122,5563,2084,2614,5033,339,4694
2000,12,1,1044,1633,2383,235,NULL,NULL,NULL,5295,124,5171,2615,2655,5131,345,4786
2001,1,1,1016,2035,2356,246,NULL,NULL,NULL,5653,87,5566,2686,2738,5514,349,5165
2001,2,1,805,2090,2136,228,NULL,NULL,NULL,5259,66,5193,2245,2483,4955,348,4607
2001,3,1,1241,1891,2375,236,NULL,NULL,NULL,5743,114,5629,2326,2729,5226,357,4869
2001,4,1,1300,1574,2298,223,NULL,NULL,NULL,5395,106,5289,1851,2425,4715,356,4359
2001,5,1,2098,2065,2336,212,NULL,NULL,NULL,6711,255,6456,1092,3047,4501,320,4181
2001,6,1,2156,2286,2111,202,NULL,NULL,NULL,6755,312,6443,963,3120,4286,285,4001
2001,7,1,2317,2828,1468,208,NULL,NULL,NULL,6821,287,6534,1070,3317,4287,321,3966
2001,8,1,2132,2944,1130,165,NULL,NULL,NULL,6371,239,6132,956,2766,4322,319,4003
2001,9,1,1622,1670,2051,211,NULL,NULL,NULL,5554,139,5415,1986,2892,4509,314,4195
2001,10,1,1282,1697,2348,229,NULL,NULL,NULL,5556,128,5428,2412,3100,4740,344,4396
2001,11,1,898,1810,2297,227,NULL,NULL,NULL,5232,96,5136,2946,2849,5233,352,4881
2001,12,1,884,1620,2387,233,NULL,NULL,NULL,5124,118,5006,3563,3074,5495,369,5126
2002,1,1,765,1579,2384,271,NULL,NULL,NULL,4999,102,4897,3721,2850,5768,365,5403
2002,2,1,748,1149,2143,249,NULL,NULL,NULL,4289,84,4205,3231,2486,4950,348,4602
2002,3,1,1080,1143,2377,251,NULL,NULL,NULL,4851,117,4734,2886,2530,5090,348,4742
2002,4,1,1050,1278,2233,232,NULL,NULL,NULL,4793,126,4667,2625,2568,4724,357,4367
2002,5,1,1912,1574,2256,227,NULL,NULL,NULL,5969,214,5755,1743,2943,4555,324,4231
2002,6,1,2232,2058,1658,215,NULL,NULL,NULL,6163,359,5804,1404,2837,4371,291,4080
2002,7,1,2206,2076,1809,217,NULL,NULL,NULL,6308,310,5998,1605,3282,4321,324,3997
2002,8,1,1984,1908,1439,214,NULL,NULL,NULL,5545,274,5271,1432,2389,4314,318,3996
2002,9,1,1577,1559,2277,186,NULL,NULL,NULL,5599,271,5328,1919,2711,4536,316,4220
2002,10,1,1330,1148,2394,231,NULL,NULL,NULL,5103,180,4923,2641,2573,4991,362,4629
2002,11,1,1477,1722,2309,250,NULL,NULL,NULL,5758,184,5574,1944,2400,5118,344,4774
