Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Area-mean temperatures of Switzerland 1864-2026

DOI: 10.18751/Climate/Timeseries/CHTM/1.4
CAT-version: 2.0.4
Creation date: 01.04.2026 (provisional value for the most recent month)

Citation:
Method: Begert M, Frei C. 2018. Long-term area-mean temperature series for Switzerland - Combining homogenized station data and high resolution grid data. Int. J. Climatol., 38: 2792-2807. https://doi.org/10.1002/joc.5460
Dataset: MeteoSwiss. Area-mean temperatures of Switzerland. doi:10.18751/Climate/Timeseries/CHTM/1.4

djf: dec-feb; mam: mar-may; jja: jun-aug; son: sep-nov; winter: oct-mar; summer: apr-sep; year: jan-dec

time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	djf	mam	jja	son	winter	summer	year
1864	-7.1	-4.52	0.04	2.1	7.43	9.48	12.37	10.95	8.59	3.51	-0.51	-4.47	NA	3.19	10.93	3.86	NA	8.49	3.16
1865	-3.46	-6.26	-5.91	7.01	10.1	10.98	13.98	11.16	11.89	5.21	1.26	-3.07	-4.73	3.73	12.04	6.12	-2.85	10.85	4.41
1866	-1.31	-0.42	-1	4.1	4.96	12.02	12.25	9.99	9.69	5.35	-0.2	-0.49	-1.6	2.68	11.42	4.95	0.11	8.83	4.58
1867	-3.87	0.55	-0.13	3.48	7.74	10.57	11.29	12.94	10.42	2.93	-1.43	-5.8	-1.27	3.69	11.6	3.97	0.2	9.41	4.06
1868	-5.46	-1.54	-2.3	2.32	12.04	11.96	12.88	12.5	11.12	4.78	-1.99	1.27	-4.26	4.02	12.45	4.63	-2.27	10.47	4.8
1869	-4.61	1.27	-4.25	4.52	8.92	8.26	14.81	10.87	10.34	2.32	0.08	-4.18	-0.69	3.06	11.31	4.25	-0.59	9.62	4.03
1870	-5.46	-4.23	-2.59	2.79	8.9	11.41	14.39	9.84	8.16	4.07	-0.15	-6.81	-4.62	3.03	11.88	4.03	-2.34	9.25	3.36
1871	-7.81	-1.97	0.02	3.52	6.66	7.26	13.13	12.61	11.33	3.32	-2.86	-8.3	-5.53	3.4	11	3.93	-2.11	9.09	3.08
1872	-3.22	-2.09	0.47	3.94	6.07	10.07	13.45	10.88	10.18	5.34	1.77	-0.77	-4.54	3.49	11.47	5.76	-2.11	9.1	4.67
1873	-2.18	-3.85	1.66	1.61	5.11	10.53	14.52	13.55	8.67	5.47	0.65	-2.87	-2.27	2.79	12.87	4.93	0.33	9	4.4
1874	-3.14	-4.07	-1.28	4.58	3.97	11.29	15.01	10.91	10.99	5.72	-2.12	-6.34	-3.36	2.42	12.4	4.86	-0.88	9.46	3.79
1875	-1.76	-6.47	-2.13	2.89	9.5	11.38	11.44	13.57	10.64	3.81	-1.15	-5.52	-4.86	3.42	12.13	4.43	-2.18	9.9	3.85
1876	-4.41	-2.37	-0.87	2.91	4.42	10.53	13.58	13.1	7.9	7.26	-1.2	-0.08	-4.1	2.15	12.4	4.66	-1.75	8.74	4.23
1877	-1.64	-1.79	-2.31	2.55	4.94	13.39	11.83	13.51	7.29	2.71	1.71	-3.45	-1.17	1.73	12.91	3.9	0.04	8.92	4.06
1878	-5.82	-1.76	-2.23	3.12	8.26	10.2	11.91	12.16	9.45	5.45	-2	-6.36	-3.68	3.05	11.42	4.3	-1.47	9.18	3.53
1879	-4.1	-2.58	0.09	0.92	3.41	10.82	9.79	14.02	9.32	4	-3.14	-8.4	-4.35	1.47	11.54	3.39	-1.58	8.05	2.85
1880	-6.41	-2.06	2.19	3.72	6.2	8.91	13.67	11.13	9.66	5.41	1.13	0.44	-5.62	4.04	11.24	5.4	-2.3	8.88	4.5
1881	-6.82	-1.95	1.13	2.69	6.42	9.91	15.24	12.71	7.47	1.16	2.86	-2.92	-2.78	3.41	12.62	3.83	-0.11	9.07	3.99
1882	-2	-2.38	1.68	2.79	7.56	9.54	10.95	10.29	7.43	5.1	0.08	-2.14	-2.43	4.01	10.26	4.2	-0.27	8.09	4.07
1883	-3.2	-1.1	-4.36	1.88	7.32	9.84	10.9	11.64	8.17	3.85	0.22	-3.65	-2.15	1.61	10.79	4.08	-0.93	8.29	3.46
1884	-1.73	-1.29	0.81	2.46	8.5	7.39	13.19	12.62	9.41	3.27	-1.67	-2.54	-2.22	3.92	11.07	3.67	-0.3	8.93	4.2
1885	-6.02	-0.03	-0.48	3.79	4.85	12.29	13.75	11.8	8.54	2.59	1.21	-3.11	-2.86	2.72	12.61	4.11	-1.25	9.17	4.1
